,City,Lattitutde,Longitude,Country,Date,Humidity,Cloudiness,Max Temp,Wind Speed
49,Avarua,-21.21,-159.78,CK,1577672911,78,100,77.0,3.36
50,Guangshui,31.62,113.82,CN,1577673737,67,0,48.13,13.24
51,Kamaishi,39.28,141.86,JP,1577673739,80,75,30.2,2.24
52,Mahebourg,-20.41,57.7,MU,1577673558,100,75,77.0,26.4
53,Hobart,-42.88,147.33,AU,1577673242,37,33,102.99,12.75
54,Jamestown,-33.21,138.6,AU,1577673340,14,68,102.94,21.5
55,Atuona,-9.8,-139.03,PF,1577673458,74,4,80.73,12.82
56,Taquaritinga,-21.41,-48.51,BR,1577673745,73,99,74.86,5.73
57,Upernavik,72.79,-56.15,GL,1577673294,78,100,14.22,14.43
58,Saldanha,41.42,-6.55,PT,1577673748,52,3,40.68,1.74
59,Vestmanna,62.16,-7.17,FO,1577673749,81,100,46.4,25.28
60,Vaini,15.34,74.49,IN,1577673233,93,5,69.8,6.49
61,Dikson,73.51,80.55,RU,1577673317,92,100,-1.34,31.07
62,Vila,45.18,8.4,IT,1577673753,100,75,37.99,6.93
63,Gimli,50.63,-96.99,CA,1577673754,94,100,12.99,8.99
64,Kruisfontein,-34.0,24.73,ZA,1577673498,98,86,63.16,0.94
65,Cidreira,-30.17,-50.22,BR,1577673642,89,0,75.09,23.24
66,Lavrentiya,65.58,-170.99,RU,1577673252,86,4,-9.51,14.32
67,Abeche,13.83,20.83,TD,1577673759,17,100,61.59,10.89
68,Luderitz,-26.65,15.16,NA,1577673447,90,33,61.21,19.6
69,Mildura,-34.18,142.16,AU,1577673762,8,90,107.6,17.22
70,Jeannette,40.33,-79.62,US,1577673587,100,90,60.01,3.36
71,Lokosovo,61.13,74.84,RU,1577673765,89,38,-1.05,9.19
72,Busselton,-33.64,115.35,AU,1577673186,26,92,75.99,9.08
73,Cape Town,-33.93,18.42,ZA,1577673065,77,0,66.99,18.34
74,Belaya Gora,68.54,146.19,RU,1577673769,75,0,-31.31,4.83
75,Vanimo,-2.67,141.3,PG,1577673770,72,100,83.37,9.24
76,Gualeguay,-33.15,-59.31,AR,1577673772,78,99,78.78,10.38
77,Predivinsk,57.07,93.44,RU,1577673773,89,100,-2.99,2.91
78,Grindavik,63.84,-22.43,IS,1577673774,80,0,35.6,11.41
79,Langham,52.36,-106.96,CA,1577673775,78,75,17.6,11.41
80,Sawtell,-30.38,153.1,AU,1577673776,57,0,89.01,24.16
81,Kawalu,-7.38,108.21,ID,1577673778,68,98,82.6,4.16
82,Mandera,3.94,41.86,ET,1577673779,27,28,61.0,7.0
83,Vila Franca do Campo,37.72,-25.43,PT,1577673396,76,20,51.8,5.82
84,Jaffna,9.67,80.01,LK,1577673715,79,8,79.27,12.66
85,Red Bluff,40.18,-122.24,US,1577673783,93,90,46.4,8.05
86,Jiayuguan,39.77,98.29,CN,1577673784,34,20,15.69,11.54
87,Rio Grande,-32.03,-52.1,BR,1577673528,93,12,73.99,6.62
88,Punta Arenas,-53.16,-70.91,CL,1577672963,57,8,51.8,8.05
89,Castro,-42.48,-73.76,CL,1577673209,81,100,53.6,6.93
90,Solnechnyy,50.72,136.64,RU,1577673790,92,100,0.91,2.28
91,Emborion,40.48,21.55,GR,1577673791,68,2,26.6,13.87
92,Yar-Sale,66.83,70.83,RU,1577673792,78,100,14.04,20.69
93,Carnarvon,-30.97,22.13,ZA,1577673272,73,0,62.53,8.61
94,Ribeira Grande,38.52,-28.7,PT,1577673385,69,79,54.81,7.83
95,Nuuk,64.17,-51.74,GL,1577673796,85,100,19.4,5.82
96,Chico,39.73,-121.84,US,1577673599,93,90,48.2,6.93
97,Guerrero Negro,27.97,-114.04,MX,1577673799,52,0,58.21,5.64
98,Kapaa,22.08,-159.32,US,1577673800,74,1,82.4,6.93
99,Kundiawa,-6.02,144.97,PG,1577673802,84,49,67.24,2.95
100,Flinders,-34.58,150.85,AU,1577673803,38,33,98.01,8.05
101,Havoysund,71.0,24.66,NO,1577673804,75,75,32.0,14.99
102,Lazaro Cardenas,28.39,-105.62,MX,1577673806,45,5,42.8,4.7
103,Hermanus,-34.42,19.24,ZA,1577673220,91,48,64.99,1.01
104,Kahului,20.89,-156.47,US,1577673398,54,40,82.4,19.46
105,Lata,30.78,78.62,IN,1577673810,29,0,16.9,6.82
106,Seoul,37.57,126.98,KR,1577673558,100,90,44.6,1.12
107,Bluff,-23.58,149.07,AU,1577673330,42,25,87.96,12.44
108,Faya,18.39,42.45,SA,1577673814,66,96,51.8,8.05
109,Butaritari,3.07,172.79,KI,1577673326,76,100,83.7,11.86
110,Georgetown,6.8,-58.16,GY,1577673817,94,100,75.2,2.24
111,Mount Gambier,-37.83,140.78,AU,1577673344,15,56,102.2,23.04
112,Lasa,34.92,32.53,CY,1577673820,67,75,62.6,19.46
113,Pontianak,-0.02,109.34,ID,1577673821,69,100,87.58,1.81
114,Thunder Bay,48.41,-89.26,CA,1577673822,100,90,33.01,19.46
115,Vostok,46.45,135.83,RU,1577673478,91,99,14.54,5.01
116,Bassila,9.0,1.66,BJ,1577673825,15,0,68.86,7.02
117,Camacha,33.08,-16.33,PT,1577673430,88,20,64.4,3.36
118,Bilibino,68.06,166.44,RU,1577673827,100,100,-31.7,1.28
119,Rundu,-17.91,19.77,NA,1577673829,74,72,70.75,3.76
120,Saint George,39.45,22.34,GR,1577673555,48,40,41.0,23.04
121,Coihaique,-45.58,-72.07,CL,1577673521,48,45,60.8,3.36
122,Sakaiminato,35.55,133.23,JP,1577673833,82,75,55.4,2.24
123,Kandrian,-6.21,149.55,PG,1577673834,76,78,83.93,6.67
124,Longyearbyen,78.22,15.63,NO,1577673280,51,0,12.2,25.28
125,Barrow,-38.31,-60.23,AR,1577673255,90,100,67.73,10.18
126,Champerico,16.38,-93.6,MX,1577673414,57,40,75.2,0.76
127,Puerto Ayora,-0.74,-90.35,EC,1577673392,88,57,75.0,4.0
128,Norman Wells,65.28,-126.83,CA,1577673298,62,40,-14.8,23.04
129,Gouyave,12.16,-61.73,GD,1577673842,83,20,78.8,5.82
130,Brae,60.4,-1.35,GB,1577673844,76,100,48.2,27.51
131,Synya,65.37,58.04,RU,1577673845,74,100,12.88,18.81
132,Aras,42.56,-2.36,ES,1577673846,69,90,33.01,3.36
133,Borger,52.92,6.79,NL,1577673847,60,94,42.01,11.41
134,Salalah,17.01,54.1,OM,1577673576,73,41,75.2,4.7
135,Colares,38.8,-9.45,PT,1577673850,81,0,54.0,2.24
136,Lagoa,37.14,-8.45,PT,1577673535,81,0,54.0,9.17
137,Novodugino,55.63,34.3,RU,1577673853,89,100,22.06,13.91
138,Provideniya,64.42,-173.23,RU,1577673457,60,0,8.6,17.9
139,San Jose,14.25,-87.96,HN,1577673601,80,89,64.54,1.36
140,Paamiut,61.99,-49.67,GL,1577673857,72,0,22.35,5.53
141,Hithadhoo,-0.6,73.08,MV,1577673446,75,100,82.94,8.61
142,Leningradskiy,69.38,178.42,RU,1577673568,92,100,-19.41,26.24
143,Naze,5.43,7.07,NG,1577673861,82,41,70.05,1.57
144,Honiara,-9.43,159.96,SB,1577673862,70,20,87.8,6.93
145,Taoudenni,22.68,-3.98,ML,1577673356,23,0,58.53,11.63
146,Tasiilaq,65.61,-37.64,GL,1577673284,45,83,26.6,2.24
147,Chima,23.51,110.58,CN,1577673866,51,63,73.02,3.71
148,Cherskiy,68.75,161.3,RU,1577673441,100,4,-34.96,3.42
149,Itoman,26.12,127.67,JP,1577673870,94,75,71.6,12.75
150,Erdemli,36.61,34.31,TR,1577673871,92,100,54.91,30.82
151,Wad Rawah,15.16,33.13,SD,1577673872,27,0,58.69,10.04
152,Asyut,27.18,31.19,EG,1577673874,57,0,50.94,9.86
153,Oeiras,-7.01,-42.13,BR,1577673875,87,62,73.18,2.35
154,Humaita,-24.93,-65.37,AR,1577673876,88,75,77.0,2.24
155,Antofagasta,-23.65,-70.4,CL,1577673792,77,75,66.2,8.05
156,Kirkland Lake,48.15,-80.03,CA,1577673879,85,90,21.2,11.41
157,Miraflores,-16.39,-71.52,PE,1577673880,76,20,57.2,4.7
158,Samarai,-10.62,150.67,PG,1577673882,60,47,86.43,8.01
159,Charleston,32.79,-79.94,US,1577673651,100,90,70.0,10.27
160,Cayenne,4.94,-52.33,GF,1577673884,94,75,77.0,6.02
161,Gazanjyk,39.24,55.52,TM,1577673885,92,10,38.86,2.21
162,Ilulissat,69.22,-51.1,GL,1577673887,72,61,17.6,12.75
163,Teya,21.05,-89.07,MX,1577673888,88,20,75.2,4.81
164,Hofn,64.25,-15.21,IS,1577673520,95,100,36.91,16.8
165,Usinsk,66.0,57.56,RU,1577673891,76,100,16.47,28.25
166,Paso de los Toros,-32.81,-56.52,UY,1577673892,79,67,76.05,9.53
167,Zalantun,48.0,122.72,CN,1577673894,68,0,-5.55,13.56
168,Saint-Jean-de-Maurienne,45.28,6.35,FR,1577673895,81,0,33.01,3.6
169,Turayf,31.68,38.65,SA,1577673896,86,0,39.2,6.93
170,Lebu,8.96,38.73,ET,1577673583,62,20,53.6,6.93
171,Aketi,2.74,23.78,CD,1577673899,56,68,65.91,0.83
172,Ahuimanu,21.44,-157.84,US,1577673431,65,40,82.4,9.17
173,Torbay,47.66,-52.73,CA,1577673600,92,90,32.0,25.28
174,Frunze,43.71,77.27,KZ,1577673902,98,90,35.6,6.71
175,Nemuro,43.32,145.57,JP,1577673904,63,40,28.4,9.17
176,Laguna,16.17,-88.94,BZ,1577673905,98,8,71.08,1.16
177,Kodiak,39.95,-94.76,US,1577673907,90,90,32.0,23.04
178,Port Elizabeth,39.31,-74.98,US,1577673611,100,90,55.0,7.99
179,Poya,-21.35,165.16,NC,1577673911,82,45,76.32,22.06
180,Constitucion,23.99,-104.67,MX,1577673912,26,5,55.4,12.75
181,Jalu,29.03,21.55,LY,1577673451,71,0,46.09,15.59
182,Tiksi,71.64,128.87,RU,1577673916,82,100,-19.93,12.62
183,Beringovskiy,63.05,179.32,RU,1577673376,88,0,-9.33,22.73
184,Haines Junction,60.75,-137.51,CA,1577673402,96,98,20.19,11.79
185,Vorukh,39.85,70.57,KG,1577673920,70,100,31.66,0.29
186,Ngunguru,-35.62,174.5,NZ,1577673922,63,0,77.0,8.01
187,Thompson,55.74,-97.86,CA,1577673725,84,20,-0.4,5.82
188,Nikolskoye,59.7,30.79,RU,1577673925,86,90,34.0,8.95
189,Cheney,47.49,-117.58,US,1577673667,85,90,35.6,4.7
190,Nangong,37.36,115.37,CN,1577673928,12,0,26.91,11.61
191,Kirakira,-10.46,161.92,SB,1577673929,72,10,81.54,3.44
192,Hualmay,-11.1,-77.61,PE,1577673487,89,70,66.2,1.36
193,Cacoal,-11.43,-61.44,BR,1577673697,92,100,74.43,2.33
194,Zlobin,45.29,14.65,HR,1577673933,43,20,36.0,12.75
195,Jurm,36.86,70.83,AF,1577673934,40,100,20.08,8.79
196,Mumford,5.26,-0.76,GH,1577673936,90,0,75.6,1.57
197,Canberra,-35.3,149.1,AU,1577673937,6,74,100.99,18.34
198,Touros,-5.2,-35.46,BR,1577673938,78,20,78.8,9.17
199,Benghazi,32.12,20.07,LY,1577673624,59,77,55.54,14.81
200,Cockburn Town,21.46,-71.14,TC,1577673941,73,35,78.6,20.11
201,Mogadishu,2.04,45.34,SO,1577673651,80,58,80.38,20.54
202,Sokolo,14.74,-6.12,ML,1577673945,14,0,65.3,11.43
203,Makat,47.65,53.35,KZ,1577673946,87,62,25.52,4.45
204,Cururupu,-1.82,-44.87,BR,1577673948,97,100,74.55,1.41
205,Karratha,-20.74,116.85,AU,1577673950,87,1,84.42,10.36
206,Hambantota,6.12,81.12,LK,1577673951,100,75,69.8,5.82
207,Hilo,19.71,-155.08,US,1577673953,57,20,80.6,9.17
208,Broome,52.47,1.45,GB,1577673954,86,52,44.01,12.75
209,Shingu,33.72,135.99,JP,1577673956,100,75,55.4,6.93
210,Gorontalo,0.54,123.06,ID,1577673701,52,37,90.16,2.44
211,Ruteng,-8.61,120.46,ID,1577673497,59,23,84.04,5.73
212,Santa Isabel do Rio Negro,-0.41,-65.02,BR,1577673960,98,100,74.73,2.86
213,Sao Filipe,14.9,-24.5,CV,1577673382,67,0,71.49,12.26
214,Esperance,-33.86,121.89,AU,1577673962,49,90,68.0,12.75
215,Palm City,33.58,73.11,PK,1577673963,47,90,32.0,3.36
216,Saskylakh,71.97,114.09,RU,1577673965,92,90,-28.55,5.37
217,Adrar,27.87,-0.29,DZ,1577673966,49,24,48.2,13.87
218,Geraldton,49.72,-86.95,CA,1577673967,85,90,15.8,14.99
219,Manggar,-2.88,108.27,ID,1577673969,77,100,82.62,8.14
220,Ambanja,-13.68,48.45,MG,1577673971,93,100,75.65,2.77
221,Ponta do Sol,-20.63,-46.0,BR,1577673972,90,14,65.23,3.67
222,Te Anau,-45.41,167.72,NZ,1577673973,64,48,61.23,6.46
223,Pevek,69.7,170.27,RU,1577673579,98,100,-24.45,7.49
224,Santa Cruz,-6.22,-36.02,BR,1577673976,91,90,71.94,5.12
225,Palmer,-34.85,139.16,AU,1577673977,16,36,106.0,23.04
226,Dunedin,-45.87,170.5,NZ,1577673222,71,95,60.01,15.99
227,Mayor Pablo Lagerenza,-19.93,-60.77,PY,1577673980,66,70,79.86,4.97
228,College,64.86,-147.8,US,1577673982,70,90,1.4,4.97
229,Toba,34.47,136.83,JP,1577673983,87,75,46.4,10.29
230,La Ronge,55.1,-105.3,CA,1577673985,92,40,19.4,6.93
231,Port Hardy,50.7,-127.42,CA,1577673353,93,90,44.6,4.7
232,Bamiantong,44.93,130.53,CN,1577673988,84,0,-0.27,8.01
233,Alpinopolis,-20.86,-46.39,BR,1577673990,92,67,63.28,5.06
234,Port Lincoln,-34.72,135.86,AU,1577673561,52,27,77.59,22.84
235,Pangnirtung,66.15,-65.72,CA,1577673992,93,100,-1.37,2.51
236,Maymyo,22.03,96.47,MM,1577673994,87,40,57.2,2.24
237,Fairbanks,64.84,-147.72,US,1577673995,70,90,1.99,4.34
238,Yarmouth,43.84,-66.12,CA,1577673997,59,75,34.0,10.29
239,Tual,-5.67,132.75,ID,1577673998,70,100,84.36,8.61
240,Airai,-8.93,125.41,TL,1577673999,77,99,76.86,4.43
241,Wadi Musa,30.32,35.48,JO,1577674001,64,0,41.34,1.59
242,Bosaso,11.28,49.18,SO,1577673759,76,4,77.63,0.65
243,Padang,-0.92,100.36,ID,1577674003,65,0,82.04,1.7
244,Belyy Yar,53.6,91.39,RU,1577674004,69,100,-13.0,2.24
245,Mutare,-18.97,32.67,MZ,1577674006,93,87,64.06,3.8
246,Berlevag,70.86,29.09,NO,1577674007,71,100,33.44,16.06
247,Xining,36.62,101.77,CN,1577674009,31,0,21.27,4.61
248,Palora,-1.7,-77.97,EC,1577674011,96,92,65.77,1.83
249,San Policarpo,12.18,125.51,PH,1577674012,73,0,82.98,16.91
250,Dreux,48.74,1.37,FR,1577674013,58,29,34.0,3.36
251,Waingapu,-9.65,120.26,ID,1577674014,69,100,84.83,2.53
252,Sarandi,-27.94,-52.92,BR,1577674016,79,0,70.45,4.09
253,Tupik,54.43,119.94,RU,1577674017,87,0,-24.27,3.44
254,Takab,36.4,47.11,IR,1577674018,67,0,24.44,3.15
255,Yagodnoye,62.52,149.63,RU,1577674020,89,34,-18.78,2.75
256,Penzance,50.12,-5.53,GB,1577674021,100,0,51.01,16.11
257,Goundi,9.36,17.37,TD,1577674022,24,0,62.94,3.31
258,Praia,-20.25,-43.81,BR,1577674023,68,25,71.6,8.05
259,Marinette,45.1,-87.63,US,1577673972,100,90,42.8,4.7
260,Comodoro Rivadavia,-45.87,-67.48,AR,1577673895,63,41,62.6,6.93
261,Goderich,43.74,-81.71,CA,1577673915,93,100,39.0,25.01
262,Port Hedland,-20.31,118.58,AU,1577674030,66,40,91.4,13.87
263,Narsaq,60.91,-46.05,GL,1577674031,79,97,24.8,4.7
264,Sabratah,32.79,12.49,LY,1577674033,71,79,55.92,21.32
265,Nishihara,35.74,139.53,JP,1577674034,61,20,46.99,6.93
266,Salinopolis,-0.61,-47.36,BR,1577674008,78,100,82.72,15.32
267,Beloha,-25.17,45.06,MG,1577674038,62,64,78.71,10.29
268,Tautira,-17.73,-149.15,PF,1577673519,74,40,84.2,17.22
269,Rexburg,43.82,-111.79,US,1577674040,79,90,19.4,3.33
270,Banff,51.18,-115.57,CA,1577674003,85,0,18.59,2.71
271,Broken Hill,-31.97,141.45,AU,1577674043,9,33,105.8,17.22
272,Rocha,-34.48,-54.34,UY,1577673746,95,67,65.55,4.92
273,Hanmer Springs,-42.52,172.83,NZ,1577674045,66,100,61.72,5.97
274,Galich,58.38,42.35,RU,1577674047,89,100,17.94,11.03
275,Ballitoville,-29.54,31.21,ZA,1577674049,88,20,71.01,6.93
276,Saint-Georges,46.12,-70.67,CA,1577674050,81,99,24.01,1.03
277,Ganzhou,25.86,114.93,CN,1577674051,58,21,64.17,7.45
278,Qaqortoq,60.72,-46.03,GL,1577674053,79,93,24.8,4.7
279,Olenino,56.21,33.48,RU,1577674054,71,100,24.13,12.93
280,Petropavlovsk-Kamchatskiy,53.05,158.65,RU,1577674056,61,100,15.8,6.71
281,Coquimbo,-29.95,-71.34,CL,1577673324,87,2,59.0,4.7
282,Setermoen,68.86,18.35,NO,1577674059,98,90,32.0,11.41
283,Cabra,37.47,-4.43,ES,1577674060,100,0,43.0,1.12
284,Banepa,27.63,85.52,NP,1577674061,93,20,39.2,2.24
285,Chermoz,58.79,56.15,RU,1577674063,86,0,-6.11,3.15
286,Ayorou,14.73,0.92,NE,1577674064,15,0,63.73,9.1
287,Mayo,63.59,-135.9,CA,1577674066,76,90,-7.6,5.5
288,Hisor,38.53,68.55,TJ,1577674067,52,90,41.0,2.24
289,Plettenberg Bay,-34.05,23.37,ZA,1577673552,94,77,66.45,3.94
290,Mount Isa,-20.73,139.49,AU,1577673911,17,38,102.2,5.82
291,Katherine,-14.47,132.26,AU,1577674071,44,39,95.0,10.29
292,Batagay-Alyta,67.8,130.41,RU,1577674072,80,100,-15.95,4.92
293,Kavos,38.83,22.83,GR,1577674074,56,90,41.0,9.17
294,Emerald,-23.53,148.16,AU,1577674075,35,0,90.0,12.75
295,Auburn,44.1,-70.23,US,1577673844,80,90,34.0,6.93
296,Harper,30.3,-99.24,US,1577674078,64,1,46.99,6.78
297,Vista Hermosa,14.92,-92.27,MX,1577674080,94,40,75.2,3.65
298,Camopi,3.17,-52.33,GF,1577674081,99,27,71.29,2.37
299,Ust-Kulom,61.69,53.69,RU,1577674083,77,100,5.72,11.14
300,Noumea,-22.28,166.46,NC,1577674085,58,20,84.2,24.16
301,Opunake,-39.45,173.86,NZ,1577674086,76,7,68.0,10.0
302,Atambua,-9.11,124.89,ID,1577674087,69,100,84.43,5.41
303,Wangaratta,-36.36,146.32,AU,1577674089,4,5,108.0,19.46
304,Loanda,-22.93,-53.14,BR,1577674090,64,27,77.5,7.27
305,Ucluelet,48.94,-125.55,CA,1577674091,94,100,46.99,1.28
306,Salvador,-12.98,-38.48,BR,1577673827,74,20,80.6,5.82
307,Illela,12.25,4.3,NG,1577674094,17,0,62.76,10.07
308,Walvis Bay,-22.95,14.51,NA,1577674096,87,29,61.0,8.05
309,Razole,16.48,81.84,IN,1577674097,66,5,74.7,6.82
310,Richards Bay,-28.77,32.06,ZA,1577674099,88,100,73.22,18.97
311,Beba,22.44,-79.73,CU,1577674100,94,40,75.2,5.82
312,Codrington,-28.95,153.24,AU,1577674102,40,98,87.8,12.75
313,Kotido,3.01,34.12,UG,1577673551,46,69,72.66,6.93
314,Yanam,16.73,82.22,IN,1577674104,64,20,71.6,9.17
315,Balkhash,46.84,74.98,KZ,1577674106,89,58,17.58,8.37
316,Nanortalik,60.14,-45.24,GL,1577674108,67,96,27.16,9.22
317,Cedar City,37.68,-113.06,US,1577674109,73,90,26.6,1.59
318,Iqaluit,63.75,-68.52,CA,1577674110,77,75,3.2,3.36
319,Vao,59.1,26.19,EE,1577674112,90,100,38.73,15.82
320,Hasaki,35.73,140.83,JP,1577674113,100,75,44.6,8.05
321,Kavaratti,10.57,72.64,IN,1577674114,69,98,82.63,2.91
322,Igarka,67.47,86.57,RU,1577674115,94,100,-14.93,18.57
323,Dera Bugti,29.03,69.15,PK,1577674117,39,0,45.82,0.83
324,Chimbote,-9.08,-78.59,PE,1577674118,80,99,70.47,6.71
325,Inta,66.04,60.13,RU,1577674119,75,95,8.62,27.04
326,Svetlogorsk,53.14,59.15,RU,1577674121,84,90,5.0,2.24
327,Kaitangata,-46.28,169.85,NZ,1577674122,69,72,60.01,8.01
328,Alyangula,-13.85,136.42,AU,1577674124,59,75,91.4,9.17
329,Charagua,-19.79,-63.2,BO,1577674125,91,100,72.09,5.26
330,Abu Samrah,35.3,37.18,SY,1577674127,79,0,46.33,6.78
331,Takestan,36.07,49.69,IR,1577674128,80,0,30.2,2.24
332,Alice Springs,-23.7,133.88,AU,1577673491,16,53,102.2,5.82
333,Saint-Augustin,45.63,-73.98,CA,1577674131,68,90,28.4,6.93
334,Iracoubo,5.48,-53.21,GF,1577674132,80,100,79.74,17.72
335,Palu,-0.9,119.87,ID,1577674134,65,57,83.05,3.02
336,San Patricio,-26.98,-56.83,PY,1577674135,52,0,81.7,5.32
337,Ancud,-41.87,-73.83,CL,1577674136,81,100,53.6,6.93
338,Samfya,-11.37,29.56,ZM,1577674138,98,100,65.64,2.55
339,Wagrowiec,52.81,17.2,PL,1577674139,61,100,34.0,8.05
340,General Pico,-35.66,-63.75,AR,1577674140,85,100,72.93,5.32
341,Iberia,-11.41,-69.49,PE,1577674141,99,100,72.14,2.13
342,Cairns,-16.92,145.77,AU,1577674142,62,40,91.0,11.41
343,Conceicao do Araguaia,-8.26,-49.26,BR,1577674144,83,99,75.04,0.94
344,Caravelas,-17.73,-39.27,BR,1577674146,88,2,69.96,2.33
345,Beatrice,40.27,-96.75,US,1577674147,74,90,30.2,19.46
346,Hami,42.84,93.51,CN,1577674148,27,0,22.95,3.22
347,Sistranda,63.73,8.83,NO,1577673656,87,75,46.99,26.4
348,Namibe,-15.19,12.15,AO,1577674151,88,100,72.81,8.14
349,Coahuayana,18.62,-100.35,MX,1577674152,48,12,74.35,3.47
350,Egvekinot,66.32,-179.17,RU,1577674153,92,99,-17.86,9.51
351,Ketchikan,55.34,-131.65,US,1577674155,93,90,44.6,23.04
352,Yuncheng,35.03,111.0,CN,1577674156,26,98,34.68,5.37
353,Biak,-0.91,122.88,ID,1577673662,72,87,82.92,3.89
354,Puerto Escondido,15.86,-97.07,MX,1577674158,74,75,80.6,5.82
355,Victoria,5.28,115.24,BN,1577674160,58,75,87.8,3.36
356,Alofi,-19.06,-169.92,NU,1577674161,88,75,78.8,9.17
357,Ngong,-1.37,36.65,KE,1577674162,88,75,64.4,5.82
358,Djenne,13.91,-4.55,ML,1577674164,15,0,65.89,8.93
359,Placido de Castro,-10.34,-67.19,BR,1577674165,99,100,70.16,1.52
360,Sheridan,39.65,-105.03,US,1577674022,61,1,24.8,5.82
361,Bajram Curri,42.36,20.08,AL,1577674168,37,89,37.4,27.51
362,Buchanan,5.88,-10.05,LR,1577674169,94,20,78.8,3.36
363,Avera,33.19,-82.53,US,1577674171,100,90,71.6,10.29
364,Bad Freienwalde,52.79,14.03,DE,1577674172,69,96,37.0,6.93
365,Kununurra,-15.77,128.74,AU,1577673594,47,94,96.8,4.7
366,Loa Janan,-0.58,117.09,ID,1577674174,55,100,89.51,5.1
367,Wilmington Island,32.0,-80.97,US,1577674176,93,90,70.0,9.17
368,Nicoya,10.15,-85.45,CR,1577673901,65,100,82.4,16.11
369,Skibotn,69.39,20.27,NO,1577674178,86,90,33.8,5.82
370,Souillac,45.6,-0.6,FR,1577674179,92,90,37.99,2.24
371,Talant,47.34,5.0,FR,1577674181,100,20,32.0,2.24
372,Ust-Ishim,57.69,71.17,RU,1577674182,95,0,-8.84,4.74
373,Tres Arroyos,-38.38,-60.28,AR,1577674183,90,100,68.72,8.3
